PropertyMedianID,Suburb,PropertyMedian,UpdatedYear
437,FULLARTON,800000,2016
438,GOODWOOD,721500,2016
439,HIGHGATE,862000,2016
440,HYDE PARK,1100000,2016
441,KESWICK,,2016
442,KINGS PARK,830000,2016
443,MALVERN,1090000,2016
444,MILLSWOOD,982500,2016
445,MYRTLE BANK,760000,2016
446,PARKSIDE,706000,2016
447,UNLEY,820000,2016
448,UNLEY PARK,810000,2016
449,WAYVILLE,1080000,2016
450,GILBERTON,999000,2016
451,MEDINDIE,1640000,2016
452,VALE PARK,523250,2016
453,WALKERVILLE,1032000,2016
454,ADELAIDE AIRPORT,,2016
455,ASHFORD,605000,2016
456,BROOKLYN PARK,485000,2016
457,CAMDEN PARK,520000,2016
458,COWANDILLA,590000,2016
459,FULHAM,630000,2016
460,GLANDORE,637500,2016
461,GLENELG NORTH,553000,2016
462,HILTON,585000,2016
463,KESWICK,,2016
464,KESWICK TERMINAL,,2016
465,KURRALTA PARK,508800,2016
466,LOCKLEYS,693000,2016
467,MARLESTON,470000,2016
468,MILE END,674000,2016
469,MILE END SOUTH,,2016
470,NETLEY,470500,2016
471,NORTH PLYMPTON,457750,2016
472,NOVAR GARDENS,650000,2016
473,PLYMPTON,562500,2016
474,RICHMOND,454500,2016
475,THEBARTON,570000,2016
476,TORRENSVILLE,530000,2016
477,UNDERDALE,519000,2016
478,WEST BEACH,810000,2016
479,WEST RICHMOND,425000,2016
480,ADELAIDE,627500,2017
481,NORTH ADELAIDE,992500,2017
482,ALDGATE,695000,2017
483,ASHTON,415000,2017
484,BASKET RANGE,470000,2017
485,BELAIR,700000,2017
486,BRADBURY,,2017
487,BRIDGEWATER,435475,2017
488,CAREY GULLY,,2017
489,CASTAMBUL,,2017
490,CHERRYVILLE,,2017
491,CLELAND,,2017
492,CRAFERS,775250,2017
493,CRAFERS WEST,562500,2017
494,DORSET VALE,,2017
495,GREENHILL,476500,2017
496,HEATHFIELD,,2017
497,HORSNELL GULLY,,2017
498,HUMBUG SCRUB,,2017
499,IRONBANK,,2017
500,LONGWOOD,,2017
501,MARBLE HILL,,2017
502,MONTACUTE,,2017
503,MOUNT GEORGE,,2017
504,MYLOR,458750,2017
505,NORTON SUMMIT,660000,2017
506,PICCADILLY,,2017
507,ROSTREVOR,580000,2017
508,SCOTT CREEK,,2017
509,STIRLING,780000,2017
510,STONYFELL,946000,2017
511,SUMMERTOWN,621500,2017
512,TERINGIE,779500,2017
513,UPPER STURT,530000,2017
514,URAIDLA,585250,2017
515,WATERFALL GULLY,,2017
516,WOODFORDE,860000,2017
517,AULDANA,759000,2017
518,BEAUMONT,1050000,2017
519,BEULAH PARK,798000,2017
520,BURNSIDE,873500,2017
521,DULWICH,1390000,2017
522,EASTWOOD,635000,2017
523,ERINDALE,1145000,2017
524,FREWVILLE,900000,2017
525,GLEN OSMOND,1007500,2017
526,GLENSIDE,858250,2017
527,GLENUNGA,1000000,2017
528,HAZELWOOD PARK,828125,2017
529,HORSNELL GULLY,,2017
530,KENSINGTON GARDENS,733000,2017
531,KENSINGTON PARK,890000,2017
532,LEABROOK,1670000,2017
533,LEAWOOD GARDENS,,2017
534,LINDEN PARK,850000,2017
535,MAGILL,645000,2017
536,MOUNT OSMOND,915000,2017
537,ROSE PARK,1522000,2017
538,ROSSLYN PARK,960500,2017
539,SKYE,688500,2017
540,ST GEORGES,915000,2017
541,STONYFELL,946000,2017
542,TOORAK GARDENS,1320000,2017
543,TUSMORE,1027500,2017
544,WATERFALL GULLY,,2017
545,WATTLE PARK,828500,2017
546,ATHELSTONE,532000,2017
547,CAMPBELLTOWN,528000,2017
548,HECTORVILLE,495000,2017
549,MAGILL,645000,2017
550,NEWTON,570000,2017
551,PARADISE,520000,2017
552,ROSTREVOR,580000,2017
553,TRANMERE,670000,2017
554,ALBERT PARK,400000,2017
555,ALLENBY GARDENS,725000,2017
556,ATHOL PARK,320000,2017
557,BEVERLEY,449125,2017
558,BOWDEN,925000,2017
559,BROMPTON,557550,2017
560,CHELTENHAM,405220,2017
561,CROYDON,670000,2017
562,DEVON PARK,516250,2017
563,FINDON,512500,2017
564,FLINDERS PARK,587500,2017
565,FULHAM GARDENS,620000,2017
566,GRANGE,762500,2017
567,HENDON,405000,2017
568,HENLEY BEACH,705500,2017
569,HENLEY BEACH SOUTH,690000,2017
570,HINDMARSH,,2017
571,KIDMAN PARK,573000,2017
572,KILKENNY,489000,2017
573,OVINGHAM,,2017
574,PENNINGTON,390000,2017
575,RENOWN PARK,555000,2017
576,RIDLEYTON,645000,2017
577,ROSEWATER,350000,2017
578,ROYAL PARK,400000,2017
579,SEATON,525000,2017
580,SEMAPHORE PARK,470000,2017
581,ST CLAIR,641000,2017
582,TENNYSON,1800000,2017
583,WELLAND,712000,2017
584,WEST BEACH,670000,2017
585,WEST CROYDON,539000,2017
586,WEST HINDMARSH,492000,2017
587,WEST LAKES,707500,2017
588,WEST LAKES SHORE,555000,2017
589,WOODVILLE,493800,2017
590,WOODVILLE NORTH,540000,2017
591,WOODVILLE PARK,591250,2017
592,WOODVILLE SOUTH,535500,2017
593,WOODVILLE WEST,511000,2017
594,BIBARINGA,,2017
595,EVANSTON,313000,2017
596,EVANSTON GARDENS,325000,2017
597,EVANSTON PARK,342500,2017
598,EVANSTON SOUTH,265000,2017
599,GAWLER,442500,2017
600,GAWLER EAST,360000,2017
601,GAWLER SOUTH,278250,2017
602,GAWLER WEST,202750,2017
603,HILLIER,,2017
604,KUDLA,,2017
605,REID,408500,2017
606,ULEYBURY,,2017
607,WILLASTON,312250,2017
608,BRIGHTON,606000,2017
609,GLENELG,785000,2017
610,GLENELG EAST,925000,2017
611,GLENELG NORTH,680000,2017
612,GLENELG SOUTH,780000,2017
613,HOVE,617750,2017
614,KINGSTON PARK,995000,2017
615,NORTH BRIGHTON,632500,2017
616,SEACLIFF,1010000,2017
617,SEACLIFF PARK,505000,2017
618,SOMERTON PARK,760000,2017
619,SOUTH BRIGHTON,530000,2017
620,ASCOT PARK,453500,2017
621,BEDFORD PARK,448000,2017
622,CLOVELLY PARK,475000,2017
623,DARLINGTON,935000,2017
624,DOVER GARDENS,535000,2017
625,EDWARDSTOWN,505750,2017
626,GLANDORE,733000,2017
627,GLENGOWRIE,637500,2017
628,HALLETT COVE,465000,2017
629,LONSDALE,,2017
630,MARINO,768500,2017
631,MARION,507000,2017
632,MITCHELL PARK,477000,2017
633,MORPHETTVILLE,480500,2017
634,OAKLANDS PARK,460000,2017
635,O'HALLORAN HILL,363000,2017
636,PARK HOLME,488750,2017
637,PLYMPTON PARK,580000,2017
638,SEACLIFF PARK,505000,2017
639,SEACOMBE GARDENS,441000,2017
640,SEACOMBE HEIGHTS,477500,2017
641,SEAVIEW DOWNS,597500,2017
642,SHEIDOW PARK,446000,2017
643,SOUTH PLYMPTON,434000,2017
644,STURT,436000,2017
645,TONSLEY,,2017
646,TROTT PARK,377000,2017
647,WARRADALE,616000,2017
648,BEDFORD PARK,448000,2017
649,BELAIR,700000,2017
650,BELLEVUE HEIGHTS,505000,2017
651,BLACKWOOD,477500,2017
652,BROWN HILL CREEK,,2017
653,CLAPHAM,654000,2017
654,CLARENCE GARDENS,634250,2017
655,COLONEL LIGHT GARDENS,845650,2017
656,COROMANDEL VALLEY,546250,2017
657,CRAFERS WEST,562500,2017
658,CRAIGBURN FARM,635000,2017
659,CUMBERLAND PARK,671500,2017
660,DAW PARK,535000,2017
661,EDEN HILLS,527000,2017
662,GLENALTA,510000,2017
663,HAWTHORN,1200005,2017
664,HAWTHORNDENE,520000,2017
665,KINGSWOOD,807000,2017
666,LEAWOOD GARDENS,,2017
667,LOWER MITCHAM,786000,2017
668,LYNTON,,2017
669,MELROSE PARK,546000,2017
670,MITCHAM,1030000,2017
671,NETHERBY,1275000,2017
672,PANORAMA,621310,2017
673,PASADENA,563000,2017
674,SPRINGFIELD,,2017
675,ST MARYS,480000,2017
676,TORRENS PARK,779000,2017
677,UPPER STURT,530000,2017
678,URRBRAE,820000,2017
679,WESTBOURNE PARK,810000,2017
680,COLLEGE PARK,980000,2017
681,EVANDALE,775500,2017
682,FELIXSTOW,607500,2017
683,FIRLE,775250,2017
684,GLYNDE,600000,2017
685,HACKNEY,,2017
686,HEATHPOOL,,2017
687,JOSLIN,,2017
688,KENSINGTON,835000,2017
689,KENT TOWN,589500,2017
690,MARDEN,670000,2017
691,MARRYATVILLE,1220000,2017
692,MAYLANDS,1035000,2017
693,NORWOOD,801000,2017
694,PAYNEHAM,670000,2017
695,PAYNEHAM SOUTH,800000,2017
696,ROYSTON PARK,936250,2017
697,ST MORRIS,733000,2017
698,ST PETERS,1130000,2017
699,STEPNEY,784500,2017
700,TRINITY GARDENS,830000,2017
701,ABERFOYLE PARK,417500,2017
702,ALDINGA,460000,2017
703,ALDINGA BEACH,352200,2017
704,BLEWITT SPRINGS,,2017
705,CHANDLERS HILL,742500,2017
706,CHERRY GARDENS,,2017
707,CHRISTIE DOWNS,268000,2017
708,CHRISTIES BEACH,360000,2017
709,CLARENDON,,2017
710,COROMANDEL EAST,,2017
711,COROMANDEL VALLEY,546250,2017
712,CRAIGBURN FARM,635000,2017
713,DARLINGTON,935000,2017
714,DORSET VALE,,2017
715,FLAGSTAFF HILL,482000,2017
716,HACKHAM,278500,2017
717,HACKHAM WEST,260000,2017
718,HALLETT COVE,465000,2017
719,HAPPY VALLEY,365000,2017
720,HUNTFIELD HEIGHTS,310000,2017
721,IRONBANK,,2017
722,KANGARILLA,,2017
723,LONSDALE,,2017
724,MASLIN BEACH,418500,2017
725,MCLAREN FLAT,532500,2017
726,MCLAREN VALE,447500,2017
727,MOANA,457000,2017
728,MORPHETT VALE,310000,2017
729,NOARLUNGA CENTRE,303000,2017
730,NOARLUNGA DOWNS,330000,2017
731,O'HALLORAN HILL,363000,2017
732,OLD NOARLUNGA,430000,2017
733,OLD REYNELLA,370000,2017
734,ONKAPARINGA HILLS,440000,2017
735,O'SULLIVAN BEACH,325000,2017
736,PORT NOARLUNGA,377500,2017
737,PORT NOARLUNGA SOUTH,437000,2017
738,PORT WILLUNGA,290000,2017
739,REYNELLA,352000,2017
740,REYNELLA EAST,343000,2017
741,SEAFORD,387000,2017
742,SEAFORD HEIGHTS,472500,2017
743,SEAFORD MEADOWS,388000,2017
744,SEAFORD RISE,402500,2017
745,SELLICKS BEACH,325000,2017
746,SELLICKS HILL,,2017
747,TATACHILLA,,2017
748,THE RANGE,,2017
749,VALE PARK,666000,2017
750,WHITES VALLEY,,2017
751,WILLUNGA,492000,2017
752,WILLUNGA SOUTH,,2017
753,WOODCROFT,420000,2017
754,ANDREWS FARM,260000,2017
755,ANGLE VALE,542500,2017
756,BIBARINGA,,2017
757,BLAKEVIEW,290000,2017
758,BUCKLAND PARK,,2017
759,CRAIGMORE,310000,2017
760,DAVOREN PARK,180000,2017
761,EDINBURGH,,2017
762,EDINBURGH NORTH,,2017
763,ELIZABETH,250000,2017
764,ELIZABETH DOWNS,215000,2017
765,ELIZABETH EAST,236750,2017
766,ELIZABETH GROVE,212500,2017
767,ELIZABETH NORTH,215000,2017
768,ELIZABETH PARK,220000,2017
769,ELIZABETH SOUTH,210000,2017
770,ELIZABETH VALE,235000,2017
771,EVANSTON PARK,342500,2017
772,EYRE,,2017
773,GOULD CREEK,,2017
774,HILLBANK,355000,2017
775,HILLIER,,2017
776,HUMBUG SCRUB,,2017
777,MACDONALD PARK,,2017
778,MUNNO PARA,258000,2017
779,MUNNO PARA DOWNS,,2017
780,MUNNO PARA WEST,275000,2017
781,ONE TREE HILL,651500,2017
782,PENFIELD,355250,2017
783,PENFIELD GARDENS,,2017
784,SAMPSON FLAT,,2017
785,SMITHFIELD,282500,2017
786,SMITHFIELD PLAINS,165000,2017
787,ST KILDA,,2017
788,ULEYBURY,,2017
789,VIRGINIA,515000,2017
790,WATERLOO CORNER,,2017
791,YATTALUNGA,,2017
792,ALBERTON,533000,2017
793,ANGLE PARK,,2017
794,BIRKENHEAD,400000,2017
795,BLAIR ATHOL,445000,2017
796,BROADVIEW,524000,2017
797,CLEARVIEW,415000,2017
798,CROYDON PARK,501000,2017
799,DERNANCOURT,540000,2017
800,DEVON PARK,516250,2017
801,DRY CREEK,,2017
802,DUDLEY PARK,438000,2017
803,ENFIELD,440000,2017
804,ETHELTON,370000,2017
805,EXETER,570000,2017
806,FERRYDEN PARK,448000,2017
807,GEPPS CROSS,315000,2017
